Info 0    [15:37:39.341] Starting TS Server
Info 1    [15:37:39.345] Version: 3.8.3
Info 2    [15:37:39.345] Arguments: C:\Program Files\nodejs\node.exe c:\Users\Owner\AppData\Roaming\npm\node_modules\typescript\bin\tsserver --logFile w:\SimpleServers\js\src\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\Owner\AppData\Local\Temp\7228db06d94915d700a004a8faeeaf6f\tscancellation*
Info 3    [15:37:39.345] Platform: win32 NodeVersion: 12 CaseSensitive: false
Info 4    [15:37:39.511] Search path: w:/SimpleServers/js/src
Info 5    [15:37:39.511] For info: w:/SimpleServers/js/src/index.js :: No config files found.
Info 6    [15:37:39.516] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [15:37:41.571] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2055ms
Info 8    [15:37:41.571] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [15:37:41.571] 	Files (113)

Info 10   [15:37:41.571] -----------------------------------------------
Info 11   [15:37:41.773] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 12   [15:37:41.797] Elapsed:: 24ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [15:37:41.820] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [15:37:41.820] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [15:37:41.820] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/README.md :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [15:37:41.820] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/README.md :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [15:37:41.820] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/index.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 18   [15:37:41.820] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/index.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [15:37:41.821] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 20   [15:37:41.821] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 21   [15:37:41.821] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/README.md :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
