Info 0    [15:40:1.195] Starting TS Server
Info 1    [15:40:1.196] Version: 3.8.3
Info 2    [15:40:1.196] Arguments: C:\Program Files\nodejs\node.exe c:\Users\Owner\AppData\Roaming\npm\node_modules\typescript\bin\tsserver --logFile w:\SimpleServers\js\src\database\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\Owner\AppData\Local\Temp\24567ee4cd690830123ed0450d113d2f\tscancellation*
Info 3    [15:40:1.196] Platform: win32 NodeVersion: 12 CaseSensitive: false
Info 4    [15:40:1.207] Search path: w:/SimpleServers/js/src/database
Info 5    [15:40:1.208] For info: w:/SimpleServers/js/src/database/database.js :: No config files found.
Info 6    [15:40:1.213] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [15:40:2.877] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1664ms
Info 8    [15:40:2.877] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [15:40:2.877] 	Files (100)

Info 10   [15:40:2.877] -----------------------------------------------
Info 11   [15:40:3.57] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 12   [15:40:3.75] Elapsed:: 18ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [15:40:3.76] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [15:40:3.76] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [15:40:3.77] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/README.md :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [15:40:3.77] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/README.md :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [15:40:3.78] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00/index.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
